"nombre","genero"
"AAMIRA","F"
"ABBI","F"
"ABBIE","F"
"ABBY","F"
"ABI","F"
"ABIGAIL","F"
"ABISAI","F"
"ABRIL","F"
"ABRYL","F"
"ABY","F"
"ACACIA","F"
"ADA","F"
"ADABEL","F"
"ADABELLA","F"
"ADALIS","F"
"ADALUZ","F"
"ADALY","F"
"ADAR","F"
"ADARA","F"
"ÁDARA","F"
"ADAYA","F"
"ADDA","F"
"ADELA","F"
"ADELAIDA","F"
"ADELE","F"
"ADELINA","F"
"ADELINE","F"
"ADHARA","F"
"ADIRA","F"
"ADOLFINA","F"
"ADRA","F"
"ADRIA","F"
"ADRIANA","F"
"ADY","F"
"AFRA","F"
"AFRICA","F"
"ÁFRICA","F"
"AFRIKA","F"
"AGATA","F"
"ÁGATA","F"
"AGATHA","F"
"ÁGATHA","F"
"AGNES","F"
"AGOSTINA","F"
"AGUSTINA","F"
"AHIMARA","F"
"AHINARA","F"
"AHINOA","F"
"AHITANA","F"
"AHSLEY","F"
"AIALA","F"
"AIALÁ","F"
"AIDA","F"
"AÍDA","F"
"AIDANA","F"
"AIEN","F"
"AIÉN","F"
"AIKA","F"
"AILEEN","F"
"AILEN","F"
"AILÉN","F"
"AILETH","F"
"AILIN","F"
"AILÍN","F"
"AILYM","F"
"AILYN","F"
"AIMARA","F"
"AIME","F"
"AIMÉ","F"
"AIMEE","F"
"AIMEÉ","F"
"AIMÉE","F"
"AIMI","F"
"AIMME","F"
"AIMY","F"
"AINA","F"
"AÍNA","F"
"AINARA","F"
"AINELEN","F"
"AINHARA","F"
"AINHOA","F"
"AINOA","F"
"AINOAH","F"
"AINOHA","F"
"AINTANA","F"
"AIRA","F"
"AIRANA","F"
"AISHA","F"
"AITANA","F"
"AITANNA","F"
"AITHANA","F"
"AITIANA","F"
"AIXA","F"
"AKANE","F"
"AKEMI","F"
"AKIRA","F"
"ALAHI","F"
"ALAHIA","F"
"ALAI","F"
"ALAIA","F"
"ALANA","F"
"ALANIS","F"
"ALANNA","F"
"ALASKA","F"
"ALAY","F"
"ALAYSHA","F"
"ALBA","F"
"ALBERTINA","F"
"ALDANA","F"
"ALDHAE","F"
"ALEGRA","F"
"ALEGRIA","F"
"ALEIDA","F"
"ALEJANDRA","F"
"ALEJANDRINA","F"
"ALELI","F"
"ALELÍ","F"
"ALENA","F"
"ALESKA","F"
"ALESSA","F"
"ALESSANDRA","F"
"ALESSIA","F"
"ALEX","F"
"ALEXA","F"
"ALEXANDRA","F"
"ALEXIA","F"
"ALEYNA","F"
"ALFONSINA","F"
"ALHELÍ","F"
"ALICE","F"
"ALICIA","F"
"ALIN","F"
"ALINA","F"
"ALINE","F"
"ALIS","F"
"ALISA","F"
"ALISE","F"
"ALISHA","F"
"ALISON","F"
"ALISSA","F"
"ALISSON","F"
"ALIX","F"
"ALIZ","F"
"ALIZA","F"
"ALIZÉE","F"
"ALIZON","F"
"ALLEGRA","F"
